[offline] pm3 --> trace list -t mf
[-] ⛔ You requested a trace upload in offline mode, consider using parameter `-1` for working from Tracebuffer
[+] Recorded activity ( 7849 bytes )
[=] start = start of start frame. end = end of frame. src = source of transfer.
[=] ISO14443A - all times are in carrier periods (1/13.56MHz)

      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
   19986960 |   19991664 | Rdr |CF! A1! C9  A5                                                           |     |
            |            |  *  |60  10  74  6B                                                           |  ok | AUTH-A(16)
   19993684 |   19998356 | Tag |FD! 93! 44! 33                                                           |     | AUTH: nt (enc)
   20010432 |   20019744 | Rdr |D4  82  9F  15  35! FB! 78  7A!                                          |     | AUTH: nr ar (enc)
   20020996 |   20025668 | Tag |11! BD! 99  AD!                                                          |     | AUTH: at (enc)
   20059872 |   20064576 | Rdr |76  FE  48! 43!                                                          |     |
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  13  18  8A                                                           |  ok | READBLOCK(19)
   20065828 |   20086692 | Tag |9B! AE! C8  0F  88! 5F  BD  DD! BA! 34! A9! 76  4C  9E! FB! 65! 0F! 60!  |     |
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok |
   20139312 |   20144080 | Rdr |69  8E  C6! 80                                                           |     |
            |            |  *  |30  10  83  B8                                                           |  ok | READBLOCK(16)
   20145252 |   20166116 | Tag |B9  41! 69  2C! 24! 6B! BE! 85! 6C  3E  95  40! 7A! 06  64  93! 9A  F0!  |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   20210368 |   20215072 | Rdr |80! 91  A1! 39                                                           |     |
            |            |  *  |30  11  0A  A9                                                           |  ok | READBLOCK(17)
   20216324 |   20237124 | Tag |72  78  DC! 72  B8  40! D0! 06! 03  48! D7  A6  FA  A6  9A! C7  32  DD   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   20286720 |   20291488 | Rdr |C9! CB  DC  6B                                                           |     |
            |            |  *  |30  12  91  9B                                                           |  ok | READBLOCK(18)
   20292676 |   20313476 | Tag |F4! 56! 8D  16  F7  AF  7E! 87! 5F  5C! 79  33  8E! 49  DF! 88  2D  1A!  |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   20385408 |   20390112 | Rdr |CD! 6C! 33  5F                                                           |     |
            |            |  *  |60  14  50  2D                                                           |  ok | AUTH-A(20)
   20392132 |   20396868 | Tag |4A! C1  A7! DB!                                                          |     | AUTH: nt (enc)
   20408816 |   20418128 | Rdr |F8! 7C! 81! F3! E1! 62! 98  1E                                           |     | AUTH: nr ar (enc)
   20419364 |   20424100 | Tag |24! 83  87  AB                                                           |     | AUTH: at (enc)
   20467504 |   20472272 | Rdr |F0! BE! C1  AD                                                           |     |
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  17  3C  CC                                                           |  ok | READBLOCK(23)
   20473460 |   20494260 | Tag |3F! 3F! FB  4B! CD  4B  17  E9  62! 94! 1D! 38! 9B  60  89! 93! CF  4F!  |     |
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok |
   20571696 |   20576400 | Rdr |0A! 4B! 5A  5F                                                           |     |
            |            |  *  |30  14  A7  FE                                                           |  ok | READBLOCK(20)
   20577652 |   20598452 | Tag |69  B6! 00! E1! 65  80  53! 49  0F  E0! 34  5D  77! 8D  7A  AB! FD! 42   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   20653248 |   20658016 | Rdr |63! C2! E1! A4                                                           |     |
            |            |  *  |30  15  2E  EF                                                           |  ok | READBLOCK(21)
   20659188 |   20679988 | Tag |9E! B4! 5F  54  71  62! 5C! 03! 3B  27  16  FD  91! 30  DE  D2! 7A! 82   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   20732176 |   20736880 | Rdr |9D  ED! A7! 70!                                                          |     |
            |            |  *  |30  16  B5  DD                                                           |  ok | READBLOCK(22)
   20738132 |   20758996 | Tag |64! D6  59  E4  0C! 8F  A7  05! DF  95! EF! BA  B1  AA  4C  CD  76! 84!  |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   20858608 |   20863312 | Rdr |34! 7C  BB  DB                                                           |     |
            |            |  *  |60  18  3C  E7                                                           |  ok | AUTH-A(24)
   20865332 |   20870068 | Tag |C2! 88  51! CC!                                                          |     | AUTH: nt (enc)
   20882032 |   20891344 | Rdr |32  84  19! F6  89  50! ED! E0!                                          |     | AUTH: nr ar (enc)
   20892580 |   20897316 | Tag |6E! 5F! 16  B7!                                                          |     | AUTH: at (enc)
   20931488 |   20936256 | Rdr |5B  0A! 49! 9C!                                                          |     |
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  1B  50  06                                                           |  ok | READBLOCK(27)
   20937444 |   20958308 | Tag |3D  81! F7  E1  D4! 9D! D5  D8  75! E4! 9C  61  6C  11! 60! 26  61  DC   |     |
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok |
   21025648 |   21030352 | Rdr |D7! CF  DD  53                                                           |     |
            |            |  *  |30  18  CB  34                                                           |  ok | READBLOCK(24)
   21031604 |   21052468 | Tag |57! 56  B6! 82! 9D  ED! 7B! 89! 70! 86  E9  31! B0! 62! 9C  68! 41! 17!  |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   21104816 |   21109584 | Rdr |58! 37  2A  42!                                                          |     |
            |            |  *  |30  19  42  25                                                           |  ok | READBLOCK(25)
   21110756 |   21131556 | Tag |CA  6C  A4  F7  F9  52  5F  DC! 74! 67  11! 09! 77  14  E8! D7! C4! 4E   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   21185360 |   21190064 | Rdr |23! 24  20! C0                                                           |     |
            |            |  *  |30  1A  D9  17                                                           |  ok | READBLOCK(26)
   21191316 |   21212116 | Tag |D4  AA! 51  E5! DA  6D  3B  1F  7D  A2  F5  94! 0E  1D! 75! CE! C1  05   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   21295904 |   21300672 | Rdr |99! 69! 08! 87!                                                          |     |
            |            |  *  |60  1C  18  A1                                                           |  ok | AUTH-A(28)
   21302628 |   21307300 | Tag |4C! 33! F0  22                                                           |     | AUTH: nt (enc)
   21319264 |   21328576 | Rdr |19! 3D  18! 1E! 83  8F! 8E  64!                                          |     | AUTH: nr ar (enc)
   21329828 |   21334564 | Tag |18! 3C! 96! 21!                                                          |     | AUTH: at (enc)
   21395680 |   21400448 | Rdr |E9  68! E9  A1                                                           |     |
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  1F  74  40                                                           |  ok | READBLOCK(31)
   21401636 |   21422436 | Tag |AA  7E  E4  98! 50! E1! 76  44  63! AD! 0B! 77! AC  6D! 6F! 40! E4  97!  |     |
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok |
   21491232 |   21495936 | Rdr |D2  5E  15  7C!                                                          |     |
            |            |  *  |30  1C  EF  72                                                           |  ok | READBLOCK(28)
   21497172 |   21517972 | Tag |1C  5B  2D! 11! 49  B1  70  A1! 80  59! 03! 81  12! 57  E1  62  6A! 79!  |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   21569552 |   21574256 | Rdr |91! F9! CF! 92!                                                          |     |
            |            |  *  |30  1D  66  63                                                           |  ok | READBLOCK(29)
   21575508 |   21596372 | Tag |DC  B9  F5  3C! 5B! 18  E0! 6E  5D! 8E! B7  C6! D7! D7  76! E0! 41! D3   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   21655968 |   21660672 | Rdr |DC  DB  E5  89!                                                          |     |
            |            |  *  |30  1E  FD  51                                                           |  ok | READBLOCK(30)
   21661924 |   21682724 | Tag |A9! 0D  0D  25! 0E  AB! 98! 1E  9A! 65! 05  A4! 80  B5  A1! C2! 0D  1B   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   21758256 |   21763024 | Rdr |DF  89  DD  C1                                                           |     |
            |            |  *  |60  20  F7  5A                                                           |  ok | AUTH-A(32)
   21764980 |   21769716 | Tag |A7! 02! 38! 5B                                                           |     | AUTH: nt (enc)
   21781776 |   21791152 | Rdr |7B  98  F7  16  F7! 3B! B1! 4B!                                          |     | AUTH: nr ar (enc)
   21792324 |   21797060 | Tag |BD  BB  DD! C1                                                           |     | AUTH: at (enc)
   21841904 |   21846608 | Rdr |0E! 6D! E4  1C!                                                          |     |
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  23  9B  BB                                                           |  ok | READBLOCK(35)
   21847860 |   21868724 | Tag |76  DB! C7! C0  38! 5A  AB! 39! FA  56  49  1C! CB! AD! 85  14  86! 0F!  |     |
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok |
   21928624 |   21933328 | Rdr |0F! 17! BC  56                                                           |     |
            |            |  *  |30  20  00  89                                                           |  ok | READBLOCK(32)
   21934580 |   21955444 | Tag |4F  E9  89  C7  C5! 81  FA! 09  9C  AE  CB  45! A4  D5! 1E! 5B! C3! F3!  |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   22008432 |   22013200 | Rdr |E0  B4! 42  7D!                                                          |     |
            |            |  *  |30  21  89  98                                                           |  ok | READBLOCK(33)
   22014388 |   22035252 | Tag |5E! C2  0B  35  FE! A6  E6! 8C  97  91! 8C! 84  26  D1  24! BB! 0E  3D   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   22089312 |   22094080 | Rdr |CA! F7! B6  C3!                                                          |     |
            |            |  *  |30  22  12  AA                                                           |  ok | READBLOCK(34)
   22095268 |   22116132 | Tag |DD  CC  FC! 55  E6  8B! 73  A7  99! 29  67! 0C! F1  F1  51! 54  C4  13   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   22200672 |   22205376 | Rdr |7E! 77! B4  D5!                                                          |     |
            |            |  *  |60  24  D3  1C                                                           |  ok | AUTH-A(36)
   22207396 |   22212068 | Tag |29! 2A! 29! 95                                                           |     | AUTH: nt (enc)
   22224032 |   22233408 | Rdr |6F! 03  11! 6F  58  7C  B7  09!                                          |     | AUTH: nr ar (enc)
   22234596 |   22239268 | Tag |26  4A! 10  08!                                                          |     | AUTH: at (enc)
   22315616 |   22320320 | Rdr |29  4E  45! D4                                                           |     |
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  27  BF  FD                                                           |  ok | READBLOCK(39)
   22321556 |   22342356 | Tag |8B! DD! 3D  4D  D8! 77  4D! 6C  CD  E5  A8! D5! 7B  2F  DE! 4E  DC  DE   |     |
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok |
   22403488 |   22408256 | Rdr |A4  95! 3B! 63!                                                          |     |
            |            |  *  |30  24  24  CF                                                           |  ok | READBLOCK(36)
   22409428 |   22430292 | Tag |11! 1B  6A! 25! E6! 02  57  67  4F  C9! 43! 44! D9  43! 6A! F7! 73! 36!  |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   22474240 |   22479008 | Rdr |3C  65  92  D2!                                                          |     |
            |            |  *  |30  25  AD  DE                                                           |  ok | READBLOCK(37)
   22480180 |   22500980 | Tag |5D! 58! 30  FE! B8! 99! 71! BF! 34  11  52  63! 5D  B7  EC! 00! C2  ED   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   22560144 |   22564848 | Rdr |75  D7! 6E  6D!                                                          |     |
            |            |  *  |30  26  36  EC                                                           |  ok | READBLOCK(38)
   22566100 |   22586900 | Tag |29  57  A9! 69! 67  D9! A4! 0E! 1C! 8C  FD  BD! 05  5E  F7! EA! 27! B1   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   22660960 |   22665664 | Rdr |0F! 93! DE  F1!                                                          |     |
            |            |  *  |60  28  BF  D6                                                           |  ok | AUTH-A(40)
   22667684 |   22672420 | Tag |EE! AB! B4  2C                                                           |     | AUTH: nt (enc)
   22684448 |   22693760 | Rdr |CD  37! 7E! FD  F3  FE! 22  70!                                          |     | AUTH: nr ar (enc)
   22695012 |   22699748 | Tag |0F! F0  34! 94                                                           |     | AUTH: at (enc)
   22731120 |   22735888 | Rdr |9C  65! 22! 99!                                                          |     |
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  2B  D3  37                                                           |  ok | READBLOCK(43)
   22737060 |   22757860 | Tag |AA! 85! B8  9A! 23  8D  1F! 05! 1C! E6! 1B! 14! F2! B7  4B  4D! 1B! DA!  |     |
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok |
   22818480 |   22823248 | Rdr |C2  A5  5A! 1C                                                           |     |
            |            |  *  |30  28  48  05                                                           |  ok | READBLOCK(40)
   22824436 |   22845300 | Tag |43  97! 1E  CA! 99! 37! 1E! 07! 0C  2A  0F! 07! 3C! 15! 8A! B8  C7! 46   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   22904016 |   22908784 | Rdr |30! DC  17  9F!                                                          |     |
            |            |  *  |30  29  C1  14                                                           |  ok | READBLOCK(41)
   22909972 |   22930772 | Tag |AD! 42  96! F7  3D  3D  0F! 6B  F5  82! 75! 4E! D1  1C  3B  AF! 1A! 42   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   22979584 |   22984352 | Rdr |35! A7! 1B! 8B!                                                          |     |
            |            |  *  |30  2A  5A  26                                                           |  ok | READBLOCK(42)
   22985540 |   23006404 | Tag |60  EC! B0! AE  75  89! EC  D7! C1  21! 93  9A  62  85! 9C! 3B  FE  BD!  |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   23089456 |   23094160 | Rdr |88! 2B! C3  67!                                                          |     |
            |            |  *  |60  2C  9B  90                                                           |  ok | AUTH-A(44)
   23096180 |   23100916 | Tag |69! 40  91  A6!                                                          |     | AUTH: nt (enc)
   23112912 |   23122288 | Rdr |33! 7D  F3! 28! AD! FD! D2! 69!                                          |     | AUTH: nr ar (enc)
   23123476 |   23128212 | Tag |FE! 92  F0  82!                                                          |     | AUTH: at (enc)
   23163376 |   23168080 | Rdr |74  49! 84  20!                                                          |     |
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  2F  F7  71                                                           |  ok | READBLOCK(47)
   23169332 |   23190132 | Tag |C2! 1C! B4  CA! 53  C6  75  10  62  FD! ED  8D  1D  93! 2C! BB  D0  D0!  |     |
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok |
   23245872 |   23250640 | Rdr |7A! A4  A2  9E                                                           |     |
            |            |  *  |30  2C  6C  43                                                           |  ok | READBLOCK(44)
   23251828 |   23272628 | Tag |A2  E9! 30  58! EA  C7! 48! D1! A9  EC! 22! 35! 5D  17  72! 83! 0D! DC!  |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   23336304 |   23341008 | Rdr |51  8A  8C! F7!                                                          |     |
            |            |  *  |30  2D  E5  52                                                           |  ok | READBLOCK(45)
   23342260 |   23363124 | Tag |B7! 39! 53! 0F  32! A2  2F! 6C! 61! 88  A8  A1  FF! 89  8D  4E  AD  57   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   23418768 |   23423536 | Rdr |7E! 45! D4  1E!                                                          |     |
            |            |  *  |30  2E  7E  60                                                           |  ok | READBLOCK(46)
   23424724 |   23445524 | Tag |B5  D1  7C  F3! AD  07  13  F5! A9! 1F! DC  89  0D  15  4F  0D  3E! 7E   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   23528272 |   23533040 | Rdr |9B! A4! E4! E6                                                           |     |
            |            |  *  |60  30  76  4A                                                           |  ok | AUTH-A(48)
   23534996 |   23539732 | Tag |A1! 54! FE  0C!                                                          |     | AUTH: nt (enc)
   23551760 |   23561136 | Rdr |DF  42! DB! 65  E3! 13  C9  53!                                          |     | AUTH: nr ar (enc)
   23562324 |   23567060 | Tag |BB  DF! 7E  31                                                           |     | AUTH: at (enc)
   23604112 |   23608880 | Rdr |BB! 50  6C  90!                                                          |     |
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  33  1A  AB                                                           |  ok | READBLOCK(51)
   23610068 |   23630932 | Tag |E4  F6  50  18! D3  A7! ED! D6! 2D  68  9C  43! 4F  9A! 98! 37! B6! 07   |     |
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok |
   23696096 |   23700864 | Rdr |75  7F  54! D9                                                           |     |
            |            |  *  |30  30  81  99                                                           |  ok | READBLOCK(48)
   23702052 |   23722852 | Tag |27! FB! EC! 2A  33  9E! C8! 86  7B! 33! F9  D8  76  13! 9E! 76! B5  F7!  |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   23786672 |   23791376 | Rdr |97  E4! A8! B9!                                                          |     |
            |            |  *  |30  31  08  88                                                           |  ok | READBLOCK(49)
   23792628 |   23813428 | Tag |38! 9E  F5! 13  87  5C  10! 0E  37  AF! AF! DF! BC  A5! 8F  9D  52! 40!  |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   23886208 |   23890976 | Rdr |75  63! 69  8E!                                                          |     |
            |            |  *  |30  32  93  BA                                                           |  ok | READBLOCK(50)
   23892164 |   23912964 | Tag |0E  ED  3C  6C! CD  EF! 00! FD  67! 54  C5! E1  5E  61  51  C7  14  E8   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   23983280 |   23988048 | Rdr |27! 61! C5  65!                                                          |     |
            |            |  *  |60  34  52  0C                                                           |  ok | AUTH-A(52)
   23990004 |   23994676 | Tag |D9! BE! A4! E3!                                                          |     | AUTH: nt (enc)
   24006736 |   24016112 | Rdr |B9! D3  03  21! A1! FE! 98! 19                                           |     | AUTH: nr ar (enc)
   24017300 |   24021972 | Tag |6F! C9  DF! 70!                                                          |     | AUTH: at (enc)
   24055520 |   24060224 | Rdr |58! 29  5A  70!                                                          |     |
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  37  3E  ED                                                           |  ok | READBLOCK(55)
   24061460 |   24082324 | Tag |80! AC! F7  73! E0  6B! 95! 18  03  4A  96  2F  EE  7F! B5! 9D! 40  46   |     |
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok |
   24139552 |   24144320 | Rdr |9B  01! FC  F5!                                                          |     |
            |            |  *  |30  34  A5  DF                                                           |  ok | READBLOCK(52)
   24145492 |   24166356 | Tag |14  5C  36! E1  D0  3D  59  82! 1F! 7A! B2! 09! 1B! E3  2D! 8F! AD  03!  |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   24226864 |   24231632 | Rdr |B4  EB! 9F  65!                                                          |     |
            |            |  *  |30  35  2C  CE                                                           |  ok | READBLOCK(53)
   24232820 |   24253620 | Tag |8A  95  F0! D7! 83  D1! B7! B9! 62! F2  D9! B6  ED! A1  A1! DC  16  AD!  |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   24302048 |   24306816 | Rdr |35  46  EE  16                                                           |     |
            |            |  *  |30  36  B7  FC                                                           |  ok | READBLOCK(54)
   24308004 |   24328868 | Tag |1B! 57  41  94  7F  AD  43  05! CF! 51  8B! DF  07! A8! D6! 56  C7! EE!  |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   24399712 |   24404480 | Rdr |40  BD  83! D7!                                                          |     |
            |            |  *  |60  38  3E  C6                                                           |  ok | AUTH-A(56)
   24406436 |   24411108 | Tag |58! 32  E6! 1F!                                                          |     | AUTH: nt (enc)
   24423104 |   24432416 | Rdr |34! 1D! 6D! 2A  38  8A  14  21                                           |     | AUTH: nr ar (enc)
   24433668 |   24438340 | Tag |D2  D0! BA! 1C!                                                          |     | AUTH: at (enc)
   24483376 |   24488080 | Rdr |7C  A6  B1  32!                                                          |     |
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  3B  52  27                                                           |  ok | READBLOCK(59)
   24489332 |   24510132 | Tag |B0  71! 53  3C  60! 9F! 02! EB! 96! 13  76  C6  2B  11! 1C! 6F  8C! B9!  |     |
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok |
   24566880 |   24571648 | Rdr |38  05! 81  D5                                                           |     |
            |            |  *  |30  38  C9  15                                                           |  ok | READBLOCK(56)
   24572820 |   24593620 | Tag |C6  98  5F  DC  5D  DD! B7! 6F! E9  71  12  4E! D3! D6  C7  13  7A  FF   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   24657344 |   24662112 | Rdr |F3  4F  E9! 61                                                           |     |
            |            |  *  |30  39  40  04                                                           |  ok | READBLOCK(57)
   24663284 |   24684084 | Tag |8E! F7  3D! 48  46! 6A! 73! 72  CE! 5A! 3D! 1C! BA  BD  EE! AB  9A  6A   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   24731376 |   24736080 | Rdr |B1  8E! 34! 2A!                                                          |     |
            |            |  *  |30  3A  DB  36                                                           |  ok | READBLOCK(58)
   24737332 |   24758196 | Tag |38! C2! 4E  80! EA! 46  AF  68  61  8F! 3C! 87! 05  04  DB  80! 9D! 90!  |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   24831952 |   24836720 | Rdr |98! EC  73  5C!                                                          |     |
            |            |  *  |60  3C  1A  80                                                           |  ok | AUTH-A(60)
   24838676 |   24843348 | Tag |F8! 2F  06  69                                                           |     | AUTH: nt (enc)
   24855408 |   24864720 | Rdr |53  A3  97! D5  55  03  A8! AD!                                          |     | AUTH: nr ar (enc)
   24865972 |   24870708 | Tag |E5! 3A  CF  04                                                           |     | AUTH: at (enc)
   24930368 |   24935136 | Rdr |33! 14! 13  6B                                                           |     |
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  3F  76  61                                                           |  ok | READBLOCK(63)
   24936308 |   24957108 | Tag |B8! 7F! FE  9F! 87! B5  32! 3B! 7D  48! 42! B4  27! 16  D4  35! C5! D6!  |     |
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok |
   25016480 |   25021184 | Rdr |1C! D8  4F! 6B!                                                          |     |
            |            |  *  |30  3C  ED  53                                                           |  ok | READBLOCK(60)
   25022420 |   25043284 | Tag |9C  0A! BF! 1A! 28! 65! 23! A2  0B  6D! FA! C5  52! 4A! 66! 8F  6C  08   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   25119472 |   25124176 | Rdr |10  FA  33! E6!                                                          |     |
            |            |  *  |30  3D  64  42                                                           |  ok | READBLOCK(61)
   25125428 |   25146228 | Tag |AA  76! DE  CE! 2C! 50! D9! 4C! 16  3B  CD! F4! F0  A0! F7  4F  4A  07!  |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   25196448 |   25201216 | Rdr |8D  CC  08! CC!                                                          |     |
            |            |  *  |30  3E  FF  70                                                           |  ok | READBLOCK(62)
   25202404 |   25223204 | Tag |92  E3  AF  A8  FF! 9D! 06! 39! 61  05! 4B  10  CB! 0C! 6D  AF! 30! 81   |     |
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok |
   25285440 |   25290208 | Rdr |05! 9B! 55  B8!                                                          |     |
            |            |  *  |50  00  57  CD                                                           |  ok | HALT
   25328480 |   25329472 | Rdr |52(7)                                                                    |     | WUPA
   25330724 |   25333092 | Tag |04  00                                                                   |     |
   25340496 |   25351024 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   25352212 |   25355732 | Tag |08  B6  DD                                                               |  ok |
   25405936 |   25410704 | Rdr |50  00  57  CD                                                           |  ok | HALT
   25451920 |   25452912 | Rdr |52(7)                                                                    |     | WUPA
   25454148 |   25456516 | Tag |04  00                                                                   |     |
   25463936 |   25474464 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   25475636 |   25479156 | Tag |08  B6  DD                                                               |  ok |
   25567088 |   25571856 | Rdr |50  00  57  CD                                                           |  ok | HALT
   25613136 |   25614128 | Rdr |52(7)                                                                    |     | WUPA
   25615380 |   25617748 | Tag |04  00                                                                   |     |
   25625168 |   25635696 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   25636868 |   25640388 | Tag |08  B6  DD                                                               |  ok |
   25706352 |   25711120 | Rdr |50  00  57  CD                                                           |  ok | HALT
   25754304 |   25755296 | Rdr |52(7)                                                                    |     | WUPA
   25756532 |   25758900 | Tag |04  00                                                                   |     |
   25766320 |   25776848 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   25778020 |   25781540 | Tag |08  B6  DD                                                               |  ok |
   25847088 |   25851856 | Rdr |50  00  57  CD                                                           |  ok | HALT
   25896864 |   25897856 | Rdr |52(7)                                                                    |     | WUPA
   25899108 |   25901476 | Tag |04  00                                                                   |     |
   25908896 |   25919424 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   25920596 |   25924116 | Tag |08  B6  DD                                                               |  ok |
   25973904 |   25978672 | Rdr |50  00  57  CD                                                           |  ok | HALT
   26023952 |   26024944 | Rdr |52(7)                                                                    |     | WUPA
   26026196 |   26028564 | Tag |04  00                                                                   |     |
   26035968 |   26046496 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   26047684 |   26051204 | Tag |08  B6  DD                                                               |  ok |
   26090864 |   26095632 | Rdr |50  00  57  CD                                                           |  ok | HALT
   26139616 |   26140608 | Rdr |52(7)                                                                    |     | WUPA
   26141860 |   26144228 | Tag |04  00                                                                   |     |
   26151632 |   26162160 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   26163348 |   26166868 | Tag |08  B6  DD                                                               |  ok |
   26223456 |   26228224 | Rdr |50  00  57  CD                                                           |  ok | HALT
